Date,Region_code,Org_code,Contract_code,Ambulance final dispositions,Recommend to A&E,N of calls
2017/7/8,,,111AE7,126,104,1477
2017/7/8,,,111AE8,86,74,921
2017/7/8,,,111AE9,65,24,785
2017/7/8,,,111AF1,82,52,780
2017/7/8,,,111AF2,184,112,1519
2017/7/8,,,111AF4,80,68,1392
2017/7/8,,,111AF8,684,412,8208
2017/7/8,,,111AG4,104,62,1009
2017/7/8,,,111AG5,84,99,1367
2017/7/8,,,111AG6,399,320,4847
2017/7/8,,,111AG7,45,43,806
2017/7/8,,,111AG8,126,91,2773
2017/7/9,,,111AA1,449,251,3757
2017/7/9,,,111AA2,81,44,873
2017/7/9,,,111AA4,133,66,1276
2017/7/9,,,111AA5,122,90,1262
2017/7/9,,,111AA6,33,26,276
2017/7/9,,,111AA7,31,30,415
2017/7/9,,,111AA9,23,23,227
2017/7/9,,,111AB2,61,79,1344
2017/7/9,,,111AB4,78,68,891
2017/7/9,,,111AC2,73,87,861
2017/7/9,,,111AC3,84,85,1151
2017/7/9,,,111AC4,54,77,1014
2017/7/9,,,111AC5,81,82,941
2017/7/9,,,111AC6,84,93,855
2017/7/9,,,111AC7,30,19,252
2017/7/9,,,111AC8,114,53,1022
2017/7/9,,,111AC9,412,305,4187
2017/7/9,,,111AD4,77,65,707
2017/7/9,,,111AD5,94,98,929
2017/7/9,,,111AD6,84,105,955
2017/7/9,,,111AD7,86,119,1152
2017/7/9,,,111AD8,30,37,431
2017/7/9,,,111AD9,500,456,5969
2017/7/9,,,111AE1,227,176,2278
2017/7/9,,,111AE2,62,54,748
2017/7/9,,,111AE3,104,82,953
2017/7/9,,,111AE5,100,66,919
2017/7/9,,,111AE6,80,48,700
2017/7/9,,,111AE7,149,124,1300
2017/7/9,,,111AE8,88,64,781
2017/7/9,,,111AE9,44,32,765
2017/7/9,,,111AF1,90,35,736
2017/7/9,,,111AF2,158,115,1524
2017/7/9,,,111AF4,105,67,1389
2017/7/9,,,111AF8,678,454,7902
2017/7/9,,,111AG4,79,47,734
2017/7/9,,,111AG5,117,109,1317
2017/7/9,,,111AG6,390,296,4332
2017/7/9,,,111AG7,42,56,855
2017/7/9,,,111AG8,151,117,1389
2017/7/10,,,111AA1,335,200,2524
2017/7/10,,,111AA2,54,29,537
2017/7/10,,,111AA4,78,76,679
2017/7/10,,,111AA5,104,58,764
2017/7/10,,,111AA6,26,21,218
2017/7/10,,,111AA7,28,41,357
2017/7/10,,,111AA9,26,26,231
2017/7/10,,,111AB2,50,52,800
2017/7/10,,,111AB4,47,47,496
2017/7/10,,,111AC2,49,25,360
2017/7/10,,,111AC3,77,54,651
2017/7/10,,,111AC4,54,53,594
2017/7/10,,,111AC5,30,36,337
2017/7/10,,,111AC6,47,55,476
2017/7/10,,,111AC7,21,19,239
2017/7/10,,,111AC8,66,38,635
2017/7/10,,,111AC9,279,259,2681
2017/7/10,,,111AD4,54,45,575
2017/7/10,,,111AD5,76,108,759
2017/7/10,,,111AD6,75,92,795
2017/7/10,,,111AD7,66,95,954
2017/7/10,,,111AD8,43,53,494
2017/7/10,,,111AD9,344,315,3935
2017/7/10,,,111AE1,134,125,1289
2017/7/10,,,111AE2,24,43,387
2017/7/10,,,111AE3,65,60,600
2017/7/10,,,111AE5,73,43,508
2017/7/10,,,111AE6,40,28,335
2017/7/10,,,111AE7,85,79,730
2017/7/10,,,111AE8,47,38,407
2017/7/10,,,111AE9,42,30,384
2017/7/10,,,111AF1,57,22,325
2017/7/10,,,111AF2,101,81,710
2017/7/10,,,111AF4,71,64,759
2017/7/10,,,111AF8,483,335,4497
2017/7/10,,,111AG4,73,47,416
2017/7/10,,,111AG5,92,78,910
2017/7/10,,,111AG6,253,239,2276
2017/7/10,,,111AG7,39,34,360
2017/7/10,,,111AG8,101,52,728
2017/7/11,,,111AA1,330,199,2230
2017/7/11,,,111AA2,59,19,428
2017/7/11,,,111AA4,105,51,755
2017/7/11,,,111AA5,76,75,598
2017/7/11,,,111AA6,28,25,211
2017/7/11,,,111AA7,23,28,311
2017/7/11,,,111AA9,20,12,175
2017/7/11,,,111AB2,47,42,654
2017/7/11,,,111AB4,31,40,417
2017/7/11,,,111AC2,47,18,301
2017/7/11,,,111AC3,72,51,560
2017/7/11,,,111AC4,50,56,580
2017/7/11,,,111AC5,39,49,509
2017/7/11,,,111AC6,45,45,376
2017/7/11,,,111AC7,20,15,180
2017/7/11,,,111AC8,74,39,570
2017/7/11,,,111AC9,277,204,2295
2017/7/11,,,111AD4,60,53,523
2017/7/11,,,111AD5,75,87,674
2017/7/11,,,111AD6,68,76,682
2017/7/11,,,111AD7,68,85,809
2017/7/11,,,111AD8,28,52,403
2017/7/11,,,111AD9,357,258,3452
2017/7/11,,,111AE1,133,112,1156
2017/7/11,,,111AE2,30,36,379
2017/7/11,,,111AE3,60,47,481
2017/7/11,,,111AE5,67,52,512
2017/7/11,,,111AE6,37,32,304
2017/7/11,,,111AE7,78,61,601
2017/7/11,,,111AE8,45,27,341
2017/7/11,,,111AE9,51,20,346
2017/7/11,,,111AF1,46,24,307
